,nodeid,iccid_x,res_time_start_s,res_time_end_s,gps_lat,gps_long,gps_speed,res_dl_throughput_kbps,res_ul_throughput_kbps,res_rtt_tcp_payload_client_ns,res_rtt_tcp_payload_server_ns,apu,route_id,segment_id,segment_lat,segment_long,route_desc,ts_start,ts_end,iccid_y,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
25,456,8947080038000093127,1502950580.0,1502950641.0,59.953341,11.046627,34.6324,4525.499027000001,1293.3903300000002,43636060,41926038,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1502950580,1502950641,8947080038000093127,61,11.291406154632568,24202,24202,1,0,0,0,0,0,0,,,,-84,-84,-84.0,6,3,4525.499027000001
26,456,89470000160204125521,1502950673.0,1502950710.0,59.953796999999994,11.056451,32.9656,12470.5961,1560.729328,78087548,46328454,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1502950673,1502950710,89470000160204125521,37,11.879026174545288,24201,24201,1,0,0,0,0,1,0,,,,-85,-83,-84.0,6,3,12470.5961
27,456,89470000160204125521,1502972266.0,1502972308.0,59.954191,11.052822,40.0032,5218.216386,2493.612811,43552728,40615437,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1502972266,1502972308,89470000160204125521,42,12.978899002075195,24201,24201,1,0,0,0,0,2,0,,,,-82,-79,-79.0,12,3,5218.216386
28,456,89470000160204125521,1502993898.0,1502993931.0,60.034043000000004,11.340019999999999,79.8212,11833.762336,17817.176163,38807088,60655248,2,4,427,60.034315733041204,11.3404565997031,Oslo - Roros - Storen,1502993898,1502993931,89470000160204125521,33,11.117938995361328,24201,24201,0,0,0,0,2,2,0,-111.0,-100.0,-105.0,-86,-71,-77.0,18,3,11833.762336
29,456,8947080038000093127,1503555377.0,1503555409.0,60.123397,11.46461,27.0392,26128.886888999998,3266.7160280000003,39017805,40011271,2,4,415,60.12192380015121,11.4648724130824,Oslo - Roros - Storen,1503555377,1503555409,8947080038000093127,32,11.596375465393065,24202,24202,0,0,0,0,3,2,0,-106.0,-102.0,-105.0,-77,-74,-75.0,6,3,26128.886888999998
30,456,89470000160204125521,1503577100.0,1503577138.0,59.953486,11.058095,74.4504,12624.286312999999,936.49003,49726922,48243156,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1503577100,1503577138,89470000160204125521,38,11.406296491622925,24201,24201,0,0,0,0,0,2,0,,,,-83,-79,-81.5,12,3,12624.286312999999
31,456,8947080038000093127,1504281738.0,1504281770.0,59.95394,11.048684,34.8176,18273.036549,4190.601586,37402562,47546209,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1504281738,1504281770,8947080038000093127,32,11.11392855644226,24202,24202,1,0,0,0,2,1,0,-97.0,-93.0,-94.5,-70,-67,-70.0,16,4,18273.036549
32,456,8947080038000093127,1504757143.0,1504757169.0,59.954662,11.051088,67.7832,63053.377821,19518.839942,44641783,39011859,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1504757143,1504757169,8947080038000093127,26,10.323227643966677,24202,24202,3,0,0,0,2,1,0,-119.0,-112.0,-117.0,-88,-83,-88.0,4,3,63053.377821
33,462,89470000160204125877,1499429894.0,1499429922.0,59.953412,11.044112,3.8892,19099.164528999998,13447.755208,57009643,52247934,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1499429894,1499429922,89470000160204125877,28,10.868287324905396,24201,24201,0,0,0,0,2,2,0,-86.0,-77.0,-80.0,-56,-53,-54.0,12,4,19099.164528999998
34,462,89470000160204125877,1501265829.0,1501265859.0,59.953563,11.044895,29.2616,70922.755632,12919.119558,39905021,60315024,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1501265829,1501265859,89470000160204125877,30,10.621078729629515,24201,24201,0,0,0,0,2,2,0,-85.0,-77.0,-84.0,-62,-48,-57.0,18,4,70922.755632
